"Dist Code","Year","State Code","State Name","Dist Name","JANUARY RAINFALL (Millimeters)","FEBRUARY RAINFALL (Millimeters)","MARCH RAINFALL (Millimeters)","APRIL RAINFALL (Millimeters)","MAY RAINFALL (Millimeters)","JUNE RAINFALL (Millimeters)","JULY RAINFALL (Millimeters)","AUGUST RAINFALL (Millimeters)","SEPTEMBER RAINFALL (Millimeters)","OCTOBER RAINFALL (Millimeters)","NOVEMBER RAINFALL (Millimeters)","DECEMBER RAINFALL (Millimeters)","ANNUAL RAINFALL (Millimeters)"
"93","2006","11","Tamil Nadu","The Nilgiris","23.8","0.0","75.6","66.4","182.7","195.6","155.1","139.1","164.1","351.4","271.1","33.6","1658.5"
"93","2007","11","Tamil Nadu","The Nilgiris","7.8","28.1","6.4","68.4","104.0","333.0","280.4","319.0","210.2","256.4","78.3","180.8","1872.8"
"93","2008","11","Tamil Nadu","The Nilgiris","5.0","188.6","286.9","52.2","99.7","294.7","353.8","292.2","127.2","423.9","55.3","37.1","2216.6"
"93","2009","11","Tamil Nadu","The Nilgiris","1.7","0.0","98.2","45.8","142.5","8.3","0.0","95.3","67.3","16.6","354.7","214.0","1044.4"
"93","2010","11","Tamil Nadu","The Nilgiris","13.0","0.0","0.0","0.0","54.5","271.3","373.1","336.0","231.3","237.1","307.7","65.1","1889.1"
"93","2011","11","Tamil Nadu","The Nilgiris","7.9","59.1","12.6","143.6","71.8","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"93","2012","11","Tamil Nadu","The Nilgiris","18.0","0.6","9.1","70.8","55.4","183.1","181.1","266.8","230.5","326.2","104.8","21.2","1467.6"
"93","2013","11","Tamil Nadu","The Nilgiris","0.9","16.9","57.9","74.1","114.0","203.9","288.7","177.2","202.5","215.2","126.5","56.4","1534.2"
"93","2014","11","Tamil Nadu","The Nilgiris","1.3","39.8","32.5","35.6","253.7","97.1","328.6","295.7","291.9","348.7","137.4","94.8","1957.1"
"93","2015","11","Tamil Nadu","The Nilgiris","1.2","0.3","137.3","140.5","227.7","305.4","93.8","96.7","152.2","152.7","346.2","66.7","1720.7"
"94","1966","11","Tamil Nadu","Kanyakumari","3.4","3.5","48.6","86.2","51.3","153.0","96.0","27.3","245.2","222.0","180.5","106.0","1222.9"
"94","1967","11","Tamil Nadu","Kanyakumari","35.6","0.2","59.1","76.2","198.8","293.5","112.7","113.8","102.0","257.6","49.5","27.7","1326.5"
"94","1968","11","Tamil Nadu","Kanyakumari","13.3","26.8","74.5","126.7","13.3","334.9","201.0","26.2","162.7","179.2","132.8","84.9","1376.3"
"94","1969","11","Tamil Nadu","Kanyakumari","2.2","2.5","34.0","134.2","97.7","69.7","141.7","118.8","51.8","315.0","157.2","117.2","1242.3"
"94","1970","11","Tamil Nadu","Kanyakumari","5.8","27.4","52.3","168.8","150.4","98.1","46.2","75.4","71.5","528.5","174.8","24.3","1423.5"
"94","1971","11","Tamil Nadu","Kanyakumari","59.2","32.8","74.0","116.7","124.3","283.3","101.3","96.3","164.2","164.3","97.0","161.6","1475.1"
"94","1972","11","Tamil Nadu","Kanyakumari","0.1","0.0","7.8","74.4","302.9","43.4","211.6","27.9","189.6","447.8","134.0","76.4","1515.9"
"94","1973","11","Tamil Nadu","Kanyakumari","0.0","0.1","26.8","172.0","76.0","308.5","101.5","56.7","16.3","290.2","136.7","116.7","1301.5"
"94","1974","11","Tamil Nadu","Kanyakumari","0.0","42.0","6.8","146.0","205.6","53.6","136.2","226.2","231.6","109.2","96.0","8.0","1261.1"
"94","1975","11","Tamil Nadu","Kanyakumari","2.1","18.4","45.1","263.5","92.6","225.3","84.6","112.0","194.5","181.7","243.8","32.9","1496.5"
"94","1976","11","Tamil Nadu","Kanyakumari","1.3","0.0","54.6","128.1","61.6","43.7","61.2","87.8","27.7","269.3","331.1","25.1","1091.4"
"94","1977","11","Tamil Nadu","Kanyakumari","0.0","63.6","47.9","143.4","289.7","104.1","90.2","62.5","73.3","509.7","285.0","11.7","1681.0"
"94","1978","11","Tamil Nadu","Kanyakumari","15.9","5.4","56.3","70.3","117.0","106.5","85.9","92.3","32.9","199.8","551.6","43.7","1377.4"
"94","1979","11","Tamil Nadu","Kanyakumari","0.2","102.1","24.5","30.4","33.7","215.4","100.8","87.0","163.0","221.4","376.3","79.8","1434.7"
"94","1980","11","Tamil Nadu","Kanyakumari","0.0","0.0","36.3","111.0","86.7","192.8","74.1","61.1","71.4","163.4","201.0","165.1","1162.9"
"94","1981","11","Tamil Nadu","Kanyakumari","6.7","5.4","41.8","104.1","94.6","358.2","75.4","176.2","184.5","352.4","194.7","29.1","1623.1"
"94","1982","11","Tamil Nadu","Kanyakumari","0.0","0.0","13.6","75.0","171.8","244.3","123.4","59.6","33.6","171.5","189.1","14.8","1096.7"
"94","1983","11","Tamil Nadu","Kanyakumari","0.0","0.6","2.7","36.7","127.7","124.6","67.2","101.9","88.7","108.8","217.0","160.6","1036.4"
"94","1984","11","Tamil Nadu","Kanyakumari","30.3","91.6","134.1","159.6","34.8","161.2","86.4","8.7","129.0","269.7","105.2","5.9","1216.5"
"94","1985","11","Tamil Nadu","Kanyakumari","85.4","14.6","28.9","38.7","96.0","270.7","27.6","45.7","78.8","186.0","215.2","21.0","1108.7"
"94","1986","11","Tamil Nadu","Kanyakumari","10.4","81.3","11.1","74.0","62.8","65.5","47.2","151.7","55.4","159.9","134.4","14.5","868.2"
"94","1987","11","Tamil Nadu","Kanyakumari","11.6","0.3","41.7","99.7","110.7","112.8","14.1","129.7","163.0","408.6","400.1","130.9","1623.4"
"94","1988","11","Tamil Nadu","Kanyakumari","1.5","40.9","114.6","200.2","25.6","210.9","112.4","69.3","259.3","67.5","218.5","13.7","1334.4"
"94","1989","11","Tamil Nadu","Kanyakumari","0.4","0.0","42.1","88.1","49.5","274.3","148.4","46.2","144.3","199.2","169.1","12.2","1173.6"
"94","2012","11","Tamil Nadu","Kanyakumari","26.3","4.9","7.3","125.4","15.2","68.4","59.2","93.8","36.9","226.6","122.2","24.6","810.8"
"94","2013","11","Tamil Nadu","Kanyakumari","24.7","70.3","32.3","26.2","64.0","266.8","114.1","43.6","79.0","78.0","325.8","76.6","1201.4"
"94","2014","11","Tamil Nadu","Kanyakumari","49.2","16.2","7.0","41.0","293.6","47.5","29.3","263.7","73.7","233.1","214.4","47.5","1316.2"
"94","2015","11","Tamil Nadu","Kanyakumari","10.0","12.5","48.5","169.2","260.5","247.9","38.2","32.9","214.0","382.8","267.8","129.8","1814.1"
"999","1990","11","Tamil Nadu","Chennai","6.5","2.9","16.0","0.0","408.0","20.3","96.7","55.7","195.0","573.5","309.3","91.9","1775.8"
"999","1991","11","Tamil Nadu","Chennai","4.0","1.0","0.0","0.0","0.0","263.9","79.3","106.7","189.0","320.2","466.9","1.5","1432.5"
"999","1992","11","Tamil Nadu","Chennai","12.3","0.0","0.0","38.6","50.3","6.1","85.9","170.5","80.5","90.0","535.4","102.3","1171.9"
"999","1993","11","Tamil Nadu","Chennai","0.0","0.0","2.0","0.0","58.1","49.4","72.2","112.1","52.9","258.1","355.1","283.7","1243.6"
"999","1994","11","Tamil Nadu","Chennai","0.2","9.8","0.0","0.0","75.0","53.1","77.1","102.7","38.3","402.3","551.1","225.2","1534.8"
"999","1995","11","Tamil Nadu","Chennai","172.6","0.0","32.5","0.0","304.3","18.9","103.1","256.8","186.7","249.1","274.3","0.9","1089.8"
"999","1996","11","Tamil Nadu","Chennai","0.9","0.0","0.0","15.8","15.0","697.5","65.4","77.4","314.5","446.6","333.3","442.5","2408.9"
"999","1997","11","Tamil Nadu","Chennai","8.3","8.9","0.0","50.2","0.6","75.6","40.5","92.1","141.2","265.3","822.1","418.1","1922.9"
"999","1998","11","Tamil Nadu","Chennai","1.2","0.0","1.9","12.6","26.2","34.5","92.3","113.2","62.8","144.9","400.2","226.2","1116.0"
"999","1999","11","Tamil Nadu","Chennai","7.6","0.1","0.0","52.5","9.2","110.2","74.5","188.4","148.6","273.9","176.3","67.5","1108.8"
"999","2000","11","Tamil Nadu","Chennai","0.3","211.3","0.7","15.9","20.5","92.7","132.8","68.7","157.5","219.4","183.0","45.8","1148.6"
"999","2001","11","Tamil Nadu","Chennai","0.9","0.0","0.0","91.3","16.9","47.7","224.4","55.0","146.0","422.9","319.8","281.0","1605.9"
"999","2002","11","Tamil Nadu","Chennai","65.1","3.7","0.0","0.0","26.0","23.6","70.1","133.4","131.0","356.7","511.7","36.7","1358.0"
"999","2003","11","Tamil Nadu","Chennai","0.6","0.0","10.4","0.4","5.2","38.7","143.6","152.5","130.1","203.1","84.1","59.2","827.9"
"999","2004","11","Tamil Nadu","Chennai","37.7","0.0","2.6","10.6","232.7","54.6","51.0","49.7","261.7","329.6","257.7","10.8","1298.7"
"999","2005","11","Tamil Nadu","Chennai","1.2","5.9","0.8","122.7","41.7","22.5","121.0","60.3","121.0","938.7","603.7","442.1","2481.6"
"999","2006","11","Tamil Nadu","Chennai","2.6","0.0","17.9","10.6","16.1","59.1","100.9","139.2","134.1","646.6","257.9","20.6","1405.6"
"999","2007","11","Tamil Nadu","Chennai","0.0","14.4","0.0","5.3","1.8","100.1","218.7","196.1","161.7","253.7","99.5","242.8","1294.1"
"999","2008","11","Tamil Nadu","Chennai","63.1","11.2","114.2","11.7","0.1","65.1","23.0","100.5","97.1","347.7","521.1","6.8","1361.6"
"999","2009","11","Tamil Nadu","Chennai","13.1","0.0","0.7","0.0","14.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","27.8"
"999","2010","11","Tamil Nadu","Chennai","0.0","0.0","0.0","0.0","0.0","120.2","146.0","195.1","107.5","164.6","224.2","263.7","1221.3"
"999","2011","11","Tamil Nadu","Chennai","11.8","41.8","0.0","19.4","10.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"999","2012","11","Tamil Nadu","Chennai","17.0","0.0","0.5","0.0","0.0","21.2","67.3","94.5","164.0","394.3","39.2","134.4","932.4"
"999","2013","11","Tamil Nadu","Chennai","0.0","16.9","25.1","1.9","1.8","40.3","154.7","194.8","210.2","195.4","174.4","93.7","1109.2"
"999","2014","11","Tamil Nadu","Chennai","0.0","7.1","0.0","0.0","30.5","141.6","47.3","210.9","129.6","386.0","182.4","151.2","1286.6"
"999","2015","11","Tamil Nadu","Chennai","14.0","0.0","0.0","52.8","6.4","26.4","153.5","120.5","69.5","149.0","1017.7","447.8","2057.6"
