Crop,Variety_Duration_Category,Zone_or_Tract,Season,N_kg_per_ha,P2O5_kg_per_ha,K2O_kg_per_ha,Application_Method,Application_Timing,Notes,Source,Source_Year
Rice (Paddy),Short duration,Cauvery delta & Coimbatore tract,Dry season,150,50,50,"N & K in 4 equal splits (basal/tillering/panicle initiation/heading); P as basal, incorporated","Basal, active tillering, panicle initiation, heading",Blanket recommendation used only when STCR-IPNS soil-test-based dose or Leaf Colour Chart (LCC) N management is not available.,TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Rice (Paddy),Short duration,Other tracts,Dry season,120,40,40,"N & K in 4 equal splits (basal/tillering/panicle initiation/heading); P as basal, incorporated","Basal, active tillering, panicle initiation, heading",Blanket recommendation used only when STCR-IPNS soil-test-based dose or Leaf Colour Chart (LCC) N management is not available.,TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Rice (Paddy),Medium/Long duration,All tracts,Wet season,150,50,50,"N & K in 4 equal splits (basal/tillering/panicle initiation/heading); P as basal, incorporated","Basal, active tillering, panicle initiation, heading",Blanket recommendation used only when STCR-IPNS soil-test-based dose or Leaf Colour Chart (LCC) N management is not available.,TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Rice (Paddy),Hybrid rice,All tracts,Any,175,60,60,"N & K in 4 equal splits (basal/tillering/panicle initiation/heading); P as basal, incorporated","Basal, active tillering, panicle initiation, heading",Blanket recommendation used only when STCR-IPNS soil-test-based dose or Leaf Colour Chart (LCC) N management is not available.,TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Rice (Paddy),Low-N-responsive (e.g. Improved White Ponni),All tracts,Any,75,50,50,"N & K in 4 equal splits (basal/tillering/panicle initiation/heading); P as basal, incorporated","Basal, active tillering, panicle initiation, heading",Blanket recommendation used only when STCR-IPNS soil-test-based dose or Leaf Colour Chart (LCC) N management is not available.,TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Rice (Paddy),Rainfed rice (blanket),Coastal rainfed districts,Rainfed,50,25,25,"N & K in 4 equal splits (basal/tillering/panicle initiation/heading); P as basal, incorporated","Basal, active tillering, panicle initiation, heading",Blanket recommendation used only when STCR-IPNS soil-test-based dose or Leaf Colour Chart (LCC) N management is not available.,TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Rice (Paddy),"Semi-dry rice, supplemental irrigation (blanket)",Kanchipuram/Tiruvallur/Nagapattinam/etc.,Semi-dry,75,25,37.5,"N & K in 4 equal splits (basal/tillering/panicle initiation/heading); P as basal, incorporated","Basal, active tillering, panicle initiation, heading",Blanket recommendation used only when STCR-IPNS soil-test-based dose or Leaf Colour Chart (LCC) N management is not available.,TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Rice (Paddy),Aerobic rice (blanket),All tracts,Any,150,50,50,"N & K in 4 equal splits (basal/tillering/panicle initiation/heading); P as basal, incorporated","Basal, active tillering, panicle initiation, heading",Blanket recommendation used only when STCR-IPNS soil-test-based dose or Leaf Colour Chart (LCC) N management is not available.,TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
